feature,shap_importance
Ticket_364516,2.2032083753606624e-17
Ticket_349909,2.0949638274157916e-17
Ticket_3101278,2.0770009690171938e-17
Name_anders,2.041721855115322e-17
Ticket_19996,2.0054312493710305e-17
Ticket_113789,1.965538991952351e-17
Ticket_345773,1.89736474389702e-17
Ticket_347080,1.7821022855993827e-17
Ticket_239865,1.7151769004774605e-17
Ticket_244252,1.6761521671601288e-17
Ticket_17569,1.633151547397155e-17
Name_solomon,1.6330928597392187e-17
Name_impe,1.5489628467634313e-17
Name_vander,1.4601756151078187e-17
Ticket_29750,1.3863476572679436e-17
Ticket_28403,1.3569021718304109e-17
Ticket_349237,1.199018403891771e-17
Ticket_9549,1.1969494325718273e-17
Name_brien,1.0128019968639665e-17
Ticket_315153,9.895056237343785e-18
Ticket_54636,9.325134842112423e-18
Name_davis,8.777538118965144e-18
Ticket_370365,8.739441227350539e-18
Ticket_349217,6.899537238239087e-18
Ticket_349214,6.680253708277575e-18
Ticket_349209,6.553122277833673e-18
Ticket_349219,6.450314673237074e-18
Ticket_349215,6.300878392172452e-18
Ticket_349216,6.248040199125587e-18
Name_viktor,5.642092972088223e-18
Ticket_113505,4.399941661336465e-18
Ticket_5735,4.192164817688002e-18
Name_graham,3.9756311737211614e-18
Name_nora,3.254949499495663e-18
Name_palsson,3.050419221608797e-18
Ticket_345765,2.9003839362997713e-18
Ticket_237736,2.588273787434651e-18
Ticket_31921,2.2034612935258256e-18
Ticket_244367,2.165011394529824e-18
Ticket_324669,1.975793264382169e-18
Name_smith,1.8534527801961793e-18
Ticket_3101279,5.331915742376437e-19
Name_jean,3.6566634394227124e-19
