feature,shap_importance
Name_david,2.1552030587519377e-17
Ticket_364516,2.1447725397496936e-17
Ticket_347080,2.0919000850814797e-17
Ticket_19996,2.081470817951703e-17
Ticket_113789,2.0377715001407488e-17
Ticket_345773,2.0249825755838368e-17
Name_solomon,1.8254100723709187e-17
Ticket_239865,1.7776099602283824e-17
Ticket_244252,1.6994419660919947e-17
Name_impe,1.5846438328469317e-17
Ticket_17569,1.457724221853924e-17
Name_vander,1.4138562042494433e-17
Ticket_28403,1.3251328864770858e-17
Ticket_29750,1.2372913256266441e-17
Ticket_349237,1.1739265444119053e-17
Ticket_315153,1.1092647525341263e-17
Ticket_9549,1.040343502935278e-17
Name_brien,9.647159145678397e-18
Ticket_370365,9.480143647780053e-18
Name_davis,9.016638017135142e-18
Ticket_54636,8.802779265984644e-18
Ticket_349217,6.55114502188161e-18
Ticket_349214,6.431658187730484e-18
Ticket_349209,6.3982511230073946e-18
Ticket_349219,6.313345435347431e-18
Ticket_349215,6.2196862900470426e-18
Ticket_349216,6.1895648287599764e-18
Name_viktor,5.436578754068211e-18
Name_graham,4.477054911850438e-18
Ticket_113505,4.3647111359073e-18
Name_nora,3.552733146822632e-18
Ticket_5735,3.465773185771115e-18
Ticket_31921,3.230551379885559e-18
Name_palsson,3.2089745809503344e-18
Ticket_345765,2.8361639854197087e-18
Name_smith,2.0101218550435695e-18
Ticket_324669,1.7523868162270122e-18
Name_jean,1.5301500733297556e-18
Ticket_3101279,1.1568395271356155e-18
Ticket_237736,1.0204048719643395e-18
Ticket_244367,6.90454032544232e-19
